Przestêpstwa bójka i pobicie wg jednostek podzia³u administracyjnego kraju - przestêpstwa stwierdzone, przestêpstwa wykryte, % wykrycia.;;;;;;;;;;;
;;;;;;;;;;;
Jednostka podzia³u administracyjnego;Rok;Przestêpstwa stwierdzone;Przestêpstwa wykryte;% wykrycia;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2014;664;523;78,8;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2013;953;766;80,1;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2012;1 394;1 167;83,4;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2011;1 518;1 320;86,7;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2010;1 455;1 244;85,2;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2009;1 660;1 397;84,1;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2008;1 656;1 377;83,0;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2007;1 664;1 408;84,4;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2006;1 802;1 480;82,0;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2005;1 773;1 361;76,5;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2004;1 723;1 311;76,0;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2003;1 667;1 262;75,6;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2002;1 694;1 290;76,1;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2001;1 673;1 299;77,6;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);2000;1 788;1 412;78,8;;;;;;;
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa);1999;1 459;1 108;75,9;;;;;;;
woj. opolskie;2021;66;63;94,0;;;;;;;
woj. opolskie;2020;74;65;86,7;;;;;;;
woj. opolskie;2019;105;92;86,8;;;;;;;
woj. opolskie;2018;138;114;82,6;;;;;;;
woj. opolskie;2017;130;99;76,2;;;;;;;
woj. opolskie;2016;118;88;74,6;;;;;;;
woj. opolskie;2015;125;76;60,8;;;;;;;
woj. opolskie;2014;181;127;70,2;;;;;;;
woj. opolskie;2013;218;171;78,1;;;;;;;
woj. opolskie;2012;264;200;75,5;;;;;;;
woj. opolskie;2011;316;249;78,8;;;;;;;
woj. opolskie;2010;340;266;77,8;;;;;;;
woj. opolskie;2009;421;331;78,6;;;;;;;
woj. opolskie;2008;414;329;79,3;;;;;;;
woj. opolskie;2007;413;336;81,4;;;;;;;
woj. opolskie;2006;359;285;79,4;;;;;;;
woj. opolskie;2005;390;325;83,3;;;;;;;
woj. opolskie;2004;387;321;82,9;;;;;;;
woj. opolskie;2003;349;287;82,2;;;;;;;
woj. opolskie;2002;369;311;84,1;;;;;;;
woj. opolskie;2001;390;322;82,6;;;;;;;
woj. opolskie;2000;417;354;84,9;;;;;;;
woj. opolskie;1999;350;289;82,6;;;;;;;
woj. podkarpackie;2021;109;90;82,6;;;;;;;
woj. podkarpackie;2020;132;105;79,5;;;;;;;
woj. podkarpackie;2019;159;120;75,5;;;;;;;
woj. podkarpackie;2018;174;141;80,6;;;;;;;
woj. podkarpackie;2017;198;152;76,4;;;;;;;
woj. podkarpackie;2016;224;166;74,1;;;;;;;
woj. podkarpackie;2015;230;163;70,6;;;;;;;
woj. podkarpackie;2014;285;223;78,0;;;;;;;
woj. podkarpackie;2013;408;303;73,9;;;;;;;
woj. podkarpackie;2012;516;417;80,3;;;;;;;
woj. podkarpackie;2011;528;417;78,8;;;;;;;
